Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,01-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,No info,14781
Air India,03-03-2019,Banglore,New Delhi,BLR ? BOM ? IDR ? DEL,06:45,07-03-2023 11:10,28h 25m,2 stops,No info,12599
IndiGo,01-05-2019,Kolkata,Banglore,CCU ? BLR,04:40,07:15,2h 35m,non-stop,No info,4804
Air Asia,09-03-2019,Banglore,New Delhi,BLR ? DEL,23:25,13-03-2023 02:10,2h 45m,non-stop,No info,4482
IndiGo,03-06-2019,Chennai,Kolkata,MAA ? CCU,13:15,15:35,2h 20m,non-stop,No info,3597
Jet Airways,15-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,16-05-2023 16:20,19h 10m,1 stop,In-flight meal not included,10844
SpiceJet,09-05-2019,Banglore,Delhi,BLR ? DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4885
Air India,09-05-2019,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,10-05-2023 07:40,18h 20m,2 stops,No info,13538
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,07-06-2023 09:20,13h 20m,1 stop,No info,14571
IndiGo,27-05-2019,Kolkata,Banglore,CCU ? BLR,20:20,22:55,2h 35m,non-stop,No info,4804
SpiceJet,09-06-2019,Banglore,Delhi,BLR ? DEL,21:10,10-06-2023 00:05,2h 55m,non-stop,No info,3971
IndiGo,21-05-2019,Kolkata,Banglore,CCU ? MAA ? BLR,16:35,22:15,5h 40m,1 stop,No info,5268
Air India,09-04-2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,05:55,10-04-2023 19:15,37h 20m,2 stops,No info,7711
Jet Airways,12-05-2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,5198
Jet Airways,12-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,13-03-2023 09:30,12h 5m,1 stop,No info,13817
Air India,06-03-2019,Mumbai,Hyderabad,BOM ? GOI ? PNQ ? HYD,13:30,16:55,3h 25m,2 stops,No info,18797
Jet Airways,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,12373
Jet Airways,09-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,10-05-2023 09:20,14h 25m,1 stop,In-flight meal not included,9663
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,19:50,13h 20m,1 stop,No info,14571
GoAir,15-04-2019,Delhi,Cochin,DEL ? AMD ? COK,07:25,13:35,6h 10m,1 stop,No info,5052
SpiceJet,27-05-2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
Jet Airways,27-06-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,29-06-2023 04:25,29h 20m,2 stops,No info,15339
IndiGo,01-04-2019,Banglore,Delhi,BLR ? DEL,00:30,03:25,2h 55m,non-stop,No info,4423
Jet Airways,09-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10-06-2023 14:25,21h 25m,1 stop,No info,14151
Multiple carriers,06-03-2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:05,21:20,8h 15m,2 stops,No info,10759
Vistara,09-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,23:25,16h 15m,1 stop,No info,9345
Jet Airways,24-03-2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,25-03-2023 23:25,26h 15m,1 stop,In-flight meal not included,10031
Vistara,21-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22-05-2023 23:25,27h 5m,1 stop,No info,9345
Jet Airways,24-06-2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,17:35,25-06-2023 19:00,25h 25m,2 stops,No info,13922
Vistara,09-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10-05-2023 09:05,16h 5m,1 stop,No info,9187
SpiceJet,12-06-2019,Kolkata,Banglore,CCU ? BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
IndiGo,01-06-2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,02-06-2023 03:35,5h 45m,1 stop,No info,8238
Air India,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,04:00,04-03-2023 07:40,27h 40m,1 stop,No info,14462
SpiceJet,12-04-2019,Kolkata,Banglore,CCU ? BLR,17:10,19:40,2h 30m,non-stop,No info,3873
SpiceJet,21-04-2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4491
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:00,16h 45m,1 stop,No info,16079
Air India,09-06-2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245
IndiGo,09-05-2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,12:10,5h 20m,1 stop,No info,5298
Jet Airways,09-05-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,11-05-2023 04:25,29h 20m,2 stops,No info,16704
Vistara,21-04-2019,Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,non-stop,No info,6741
Air India,27-04-2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,5411
Vistara,01-04-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,02-04-2023 20:20,24h,1 stop,No info,8452
Air Asia,27-04-2019,Delhi,Cochin,DEL ? BLR ? COK,16:45,28-04-2023 07:10,14h 25m,1 stop,No info,6451
Jet Airways,21-05-2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,22-05-2023 12:35,19h 5m,1 stop,In-flight meal not included,12898
Jet Airways,12-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,13-05-2023 22:05,29h 5m,1 stop,No info,13067
Vistara,21-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,23:25,6h 25m,1 stop,No info,9345
Air India,01-03-2019,Banglore,New Delhi,BLR ? AMD ? DEL,00:30,23:55,23h 25m,1 stop,1 Long layover,12599
GoAir,09-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,23:30,10-05-2023 07:45,8h 15m,1 stop,No info,6095
Jet Airways,09-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,23:35,17h 5m,1 stop,No info,14571
IndiGo,01-03-2019,Chennai,Kolkata,MAA ? CCU,05:15,07:35,2h 20m,non-stop,No info,7295
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,28-05-2023 04:25,5h 35m,1 stop,In-flight meal not included,12898
Multiple carriers,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,18:50,10h 50m,1 stop,No info,15342
IndiGo,01-05-2019,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,5h 25m,1 stop,No info,6218
IndiGo,27-05-2019,Kolkata,Banglore,CCU ? BLR,09:35,12:20,2h 45m,non-stop,No info,4804
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,13-06-2023 18:15,25h 45m,1 stop,In-flight meal not included,8529
Jet Airways,27-03-2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,1h 25m,non-stop,No info,8040
Air India,03-03-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,04-03-2023 19:15,23h 30m,2 stops,No info,12856
Jet Airways,06-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,12384
Jet Airways,21-06-2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,In-flight meal not included,5769
Jet Airways,12-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,16:20,9h 50m,1 stop,In-flight meal not included,10844
IndiGo,15-06-2019,Delhi,Cochin,DEL ? HYD ? COK,08:35,16:10,7h 35m,1 stop,No info,6442
IndiGo,06-04-2019,Kolkata,Banglore,CCU ? BLR,21:25,07-04-2023 00:05,2h 40m,non-stop,No info,4174
IndiGo,01-06-2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,02-06-2023 01:30,14h 5m,1 stop,No info,6206
SpiceJet,21-03-2019,Kolkata,Banglore,CCU ? BLR,22:20,22-03-2023 00:40,2h 20m,non-stop,No info,3847
IndiGo,09-04-2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:20,23:45,4h 25m,1 stop,No info,3574
Jet Airways,21-03-2019,Delhi,Cochin,DEL ? MAA ? BOM ? COK,16:10,22-03-2023 18:50,26h 40m,2 stops,In-flight meal not included,8728
Jet Airways,01-04-2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,02-04-2023 12:35,13h 45m,1 stop,In-flight meal not included,5177
Jet Airways,21-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,22-05-2023 04:40,9h 45m,1 stop,In-flight meal not included,9663
Multiple carriers,15-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,19:00,11h,1 stop,No info,12192
IndiGo,03-05-2019,Chennai,Kolkata,MAA ? CCU,22:05,04-05-2023 00:25,2h 20m,non-stop,No info,5277
GoAir,12-04-2019,Banglore,Delhi,BLR ? DEL,11:40,14:30,2h 50m,non-stop,No info,4937
Jet Airways,21-03-2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Multiple carriers,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,21:00,9h 30m,1 stop,In-flight meal not included,6943
SpiceJet,06-04-2019,Banglore,Delhi,BLR ? DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4319
Air India,12-06-2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,13-06-2023 08:15,22h 30m,1 stop,No info,8991
Jet Airways,01-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,21:20,14h 20m,1 stop,No info,27992
IndiGo,12-03-2019,Chennai,Kolkata,MAA ? CCU,07:55,10:15,2h 20m,non-stop,No info,6297
Jet Airways,24-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,25-06-2023 12:35,26h 55m,2 stops,No info,13014
Multiple carriers,01-06-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,13587
Jet Airways,15-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
Air India,21-05-2019,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,22-05-2023 05:35,20h 10m,2 stops,No info,11432
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,28-05-2023 04:25,8h 55m,2 stops,In-flight meal not included,13029
Multiple carriers,15-05-2019,Delhi,Cochin,DEL ? BOM ? COK,12:50,21:00,8h 10m,1 stop,No info,7670
Air India,03-05-2019,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,3100
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,13-06-2023 08:15,12h 15m,1 stop,In-flight meal not included,8529
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,19:00,7h 30m,1 stop,In-flight meal not included,10262
IndiGo,21-03-2019,Mumbai,Hyderabad,BOM ? HYD,02:30,04:00,1h 30m,non-stop,No info,3603
Multiple carriers,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,15:30,13h 15m,1 stop,No info,17057
Air India,24-03-2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,09:10,21:50,12h 40m,2 stops,No info,15187
IndiGo,27-06-2019,Delhi,Cochin,DEL ? HYD ? COK,05:05,16:10,11h 5m,1 stop,No info,6442
IndiGo,09-06-2019,Chennai,Kolkata,MAA ? CCU,05:15,07:40,2h 25m,non-stop,No info,3540
Jet Airways,09-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,06:45,16-06-2023 04:25,21h 40m,2 stops,In-flight meal not included,10919
Jet Airways,12-06-2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,12:15,13-06-2023 04:25,16h 10m,2 stops,No info,14300
Vistara,06-05-2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982
SpiceJet,09-05-2019,Kolkata,Banglore,CCU ? MAA ? BLR,15:05,20:20,5h 15m,1 stop,No info,4963
Jet Airways,03-04-2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,non-stop,No info,8040
IndiGo,03-06-2019,Chennai,Kolkata,MAA ? CCU,22:05,04-06-2023 00:25,2h 20m,non-stop,No info,5277
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,13-06-2023 04:40,8h 40m,1 stop,No info,12576
Jet Airways,09-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10-05-2023 12:00,14h 50m,1 stop,In-flight meal not included,9663
IndiGo,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,20:25,28-05-2023 01:30,5h 5m,1 stop,No info,5054
IndiGo,24-06-2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,12:10,4h 35m,1 stop,No info,5054
Jet Airways,09-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,10844
Jet Airways,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,15554
Air India,27-03-2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,13:05,28-03-2023 07:40,18h 35m,2 stops,No info,8875
Air India,12-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,18:45,13-06-2023 19:15,24h 30m,2 stops,No info,11732
GoAir,09-06-2019,Kolkata,Banglore,CCU ? AMD ? BLR,16:40,10-06-2023 00:15,7h 35m,1 stop,No info,9495
Jet Airways,03-06-2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,04-06-2023 12:35,22h,2 stops,In-flight meal not included,10919
Multiple carriers,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,10-05-2023 01:30,14h,1 stop,No info,15078
Multiple carriers,27-03-2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,13:20,6h 20m,1 stop,No info,6148
IndiGo,03-04-2019,Delhi,Cochin,DEL ? COK,05:35,08:50,3h 15m,non-stop,No info,4729
Vistara,12-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,13-06-2023 18:50,22h 30m,1 stop,No info,8610
Air India,24-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,19:15,7h 15m,2 stops,No info,9548
Vistara,09-04-2019,Banglore,Delhi,BLR ? DEL,09:45,12:35,2h 50m,non-stop,No info,5403
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,12:35,10h 20m,1 stop,No info,18371
Jet Airways,01-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,02-05-2023 10:55,25h 20m,1 stop,No info,12121
IndiGo,06-05-2019,Kolkata,Banglore,CCU ? BLR,09:35,12:20,2h 45m,non-stop,No info,4804
Air Asia,06-04-2019,Kolkata,Banglore,CCU ? BLR,10:20,12:55,2h 35m,non-stop,No info,3807
SpiceJet,01-04-2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,20:00,16-06-2023 12:35,16h 35m,2 stops,No info,14300
IndiGo,03-06-2019,Delhi,Cochin,DEL ? HYD ? COK,07:35,12:10,4h 35m,1 stop,No info,6069
IndiGo,12-06-2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,21:00,16h 5m,1 stop,No info,5894
Jet Airways,18-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,15:15,8h 15m,1 stop,No info,12284
IndiGo,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,04:55,21:00,16h 5m,1 stop,No info,6758
Jet Airways,01-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,02-05-2023 19:10,22h 45m,1 stop,In-flight meal not included,9314
Jet Airways,01-06-2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,02-06-2023 19:00,25h 30m,1 stop,No info,14714
Air India,12-06-2019,Delhi,Cochin,DEL ? BLR ? COK,20:30,13-06-2023 08:15,11h 45m,1 stop,No info,8991
SpiceJet,03-03-2019,Chennai,Kolkata,MAA ? CCU,08:20,10:35,2h 15m,non-stop,No info,7050
Jet Airways,06-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,14714
IndiGo,01-03-2019,Mumbai,Hyderabad,BOM ? HYD,06:20,07:45,1h 25m,non-stop,No info,17501
IndiGo,03-03-2019,Banglore,New Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,6144
Jet Airways,06-06-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,20:45,6h 40m,1 stop,No info,14571
SpiceJet,21-05-2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,06-03-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,07-03-2023 19:45,24h 35m,2 stops,No info,19329
IndiGo,12-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,21:00,11h 45m,1 stop,No info,6838
Multiple carriers,18-05-2019,Delhi,Cochin,DEL ? BOM ? COK,17:00,19-05-2023 01:30,8h 30m,1 stop,No info,8283
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,20:45,6h 40m,1 stop,In-flight meal not included,10844
IndiGo,03-03-2019,Mumbai,Hyderabad,BOM ? HYD,06:20,07:45,1h 25m,non-stop,No info,4784
Air Asia,18-05-2019,Banglore,Delhi,BLR ? DEL,23:55,19-05-2023 02:45,2h 50m,non-stop,No info,4483
Multiple carriers,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,21:00,10h 40m,1 stop,No info,15147
Jet Airways,15-05-2019,Banglore,Delhi,BLR ? DEL,08:20,11:20,3h,non-stop,No info,7229
Air India,27-06-2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,28-06-2023 19:15,26h,2 stops,No info,12199
Jet Airways,24-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,10844
IndiGo,27-05-2019,Delhi,Cochin,DEL ? HYD ? COK,06:50,16:10,9h 20m,1 stop,No info,6674
Air India,06-04-2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,07-04-2023 09:25,27h 20m,1 stop,No info,4487
Jet Airways,09-05-2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,16-06-2023 04:25,19h 25m,1 stop,In-flight meal not included,10262
Air India,15-05-2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,16-05-2023 08:55,27h 5m,2 stops,No info,12723
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,12898
Multiple carriers,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,8h,1 stop,No info,7408
Air India,09-05-2019,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,3100
IndiGo,18-05-2019,Kolkata,Banglore,CCU ? BLR,09:35,12:20,2h 45m,non-stop,No info,4804
Air India,12-05-2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6094
Air India,01-06-2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,6245
Air India,12-03-2019,Banglore,New Delhi,BLR ? HYD ? VGA ? DEL,06:50,13-03-2023 11:20,28h 30m,2 stops,No info,12734
Jet Airways,15-06-2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,16-06-2023 12:35,18h 10m,2 stops,No info,14237
Jet Airways,03-03-2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04-03-2023 18:50,24h 35m,1 stop,No info,17234
Jet Airways,12-06-2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,18:00,8h 25m,1 stop,No info,12692
Jet Airways,15-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,16-05-2023 14:25,18h,1 stop,No info,11467
SpiceJet,21-05-2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,2h 25m,non-stop,No info,4174
Jet Airways,18-05-2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,10844
IndiGo,21-05-2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,21:00,10h 25m,1 stop,No info,6794
SpiceJet,24-06-2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,5h 15m,1 stop,No info,5583
Multiple carriers,21-03-2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,6717
Jet Airways,09-05-2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,No info,15554
Multiple carriers,27-06-2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266
Air India,18-05-2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,15957
Air India,09-05-2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,07:05,10-05-2023 07:40,24h 35m,2 stops,No info,13547
IndiGo,12-04-2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,2h 45m,non-stop,No info,4591
Jet Airways,01-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:50,02-03-2023 23:00,24h 10m,1 stop,No info,25735
Multiple carriers,21-05-2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,8266
Air India,15-03-2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,19:50,8h,1 stop,No info,7192
SpiceJet,21-05-2019,Kolkata,Banglore,CCU ? PNQ ? BLR,08:35,17:15,8h 40m,1 stop,No info,6381
Air India,21-03-2019,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,5674
Jet Airways,03-06-2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,04-06-2023 12:35,22h,2 stops,No info,13376
Jet Airways,03-06-2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04-06-2023 19:00,25h 30m,1 stop,No info,14714
Multiple carriers,24-06-2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,25-06-2023 01:30,13h 50m,1 stop,In-flight meal not included,5797
Jet Airways,15-06-2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,3h,non-stop,No info,8016
IndiGo,06-05-2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:20,23:45,4h 25m,1 stop,No info,3809
Jet Airways,18-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,16-03-2023 07:40,23h 40m,1 stop,No info,12284
Jet Airways,09-05-2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,15544
Air India,01-04-2019,Kolkata,Banglore,CCU ? BOM ? AMD ? BLR,09:25,02-04-2023 05:25,20h,2 stops,No info,12219
Vistara,24-05-2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,25-05-2023 18:50,22h 30m,1 stop,No info,9345
Jet Airways,21-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,20:35,19-03-2023 11:25,14h 50m,1 stop,In-flight meal not included,7832
IndiGo,09-06-2019,Delhi,Cochin,DEL ? BOM ? COK,09:15,21:00,11h 45m,1 stop,No info,6838
Jet Airways,03-05-2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,4030
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,28-05-2023 04:25,15h,2 stops,No info,16704
Air India,18-05-2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,07:00,19-05-2023 01:20,18h 20m,2 stops,No info,13873
Jet Airways,06-03-2019,Delhi,Cochin,DEL ? BOM ? COK,23:05,07-03-2023 04:25,5h 20m,1 stop,No info,15764
Jet Airways,01-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,02-06-2023 04:25,22h 55m,2 stops,No info,13014
Air India,15-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,06:45,12:15,5h 30m,1 stop,No info,8714
Air India,09-05-2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,10-05-2023 11:10,26h 50m,2 stops,No info,11222
Jet Airways,01-06-2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,7229
Jet Airways,24-06-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,19:30,25-06-2023 12:35,17h 5m,2 stops,In-flight meal not included,10368
Vistara,09-03-2019,Banglore,New Delhi,BLR ? DEL,11:30,14:10,2h 40m,non-stop,No info,7240
SpiceJet,09-06-2019,Chennai,Kolkata,MAA ? CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,28-05-2023 12:35,26h 55m,2 stops,No info,15129
Jet Airways,12-06-2019,Delhi,Cochin,DEL ? BOM ? COK,19:45,13-06-2023 04:25,8h 40m,1 stop,In-flight meal not included,10262
Jet Airways,27-06-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,29-06-2023 04:25,29h 20m,2 stops,In-flight meal not included,11150
Jet Airways,27-05-2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,28-05-2023 12:35,26h 55m,2 stops,In-flight meal not included,13029
Jet Airways,15-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,12:25,5h 25m,1 stop,In-flight meal not included,9134
IndiGo,15-05-2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,4h 55m,1 stop,No info,6496
Jet Airways,12-06-2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,11:45,13-06-2023 12:35,24h 50m,2 stops,No info,13882
Jet Airways,01-04-2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,02-04-2023 08:15,12h 15m,1 stop,In-flight meal not included,7064
IndiGo,27-06-2019,Kolkata,Banglore,CCU ? BLR,21:25,28-06-2023 00:05,2h 40m,non-stop,No info,4804
GoAir,27-04-2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,2h 45m,non-stop,No info,3898
Air India,24-06-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,25-06-2023 19:15,26h 35m,2 stops,No info,9443
Jet Airways,24-03-2019,Banglore,New Delhi,BLR ? BOM ? DEL,22:50,19-03-2023 12:15,13h 25m,1 stop,In-flight meal not included,7832
Air India,06-06-2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,07-06-2023 19:15,21h 15m,2 stops,No info,10441
Jet Airways,27-06-2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,28-06-2023 19:00,29h 35m,2 stops,No info,12819
